ICs,Qty,Value,additional notes,Description,Manufacturer Part #,Manufacturer,Package,Supplier,Buy link,Supplier Part #,Datasheet,Ref Des,1k,,5k,,10k,,Seed Swap,Notes
Microprocessor,1,,,,MT7620N,Mediatek,DRQFN148- 12 mm x 12 mm,Seeed,Quote,MT7620N,http://www.anz.ru/files/mediatek/MT7620_Datasheet.pdf,U201,2.66000,2.66000,2.63000,2.63000,2.61000,2.61,,
DDR2 RAM,1,64MB (512Mb),,DDR2 RAM,W9751G6KB-25,Winbond,84WBGA,Avnet,http://avnetexpress.avnet.com/store/em/EMController?action=products&catalogId=500201&storeId=500201&N=0&defaultCurrency=USD&defaultRegion=ASIA&langId=-1&slnk=e&term=W9751G6KB-25&mfr=WBD&hrf=http%3A%2F%2Foctopart.com%2Fpartsearch&r=ASIA&CMP=KNC-ASIA_Octopart_Asia_invfeed_VSE&c=USD&l=-1,W9751G6KB-25,http://www.winbond.com.tw/NR/rdonlyres/54848106-3243-4720-A223-18CFB79A9F37/0/W9751G6KB.pdf,U301,2.20000,2.20000,1.84280,1.84280,1.67530,1.6753,,
SPI Flash,1,32MB (256Mb),,NOR Flash,S25FL256SAGNFI001,Spansion,8-WSON (6x8),Arrow,http://www.digikey.com/product-detail/en/S25FL256SAGNFI001/1274-1005-ND/3761549,S25FL256SAGNFI001,http://www.spansion.com/Support/Datasheets/S25FL128S_256S_00.pdf,U401,2.07000,2.07000,2.07000,2.07000,1.90000,1.9,,
Buck Reg,1,2.3 V ~ 5.5 V,,Buck regulator,NCP6334,On Semiconductor,8-WFDFN,Digikey,http://www.digikey.com/product-detail/en/NCP6334BMTAATBG/NCP6334BMTAATBGOSCT-ND/3424864,NCP6334BMTAATBGOSCT-ND,http://www.onsemi.com/pub/Collateral/NCP6334B-D.PDF,U601,0.49600,0.49600,0.42600,0.42600,0.40960,0.4096,,
Power,1,"2.5 V ~ 8 V, 1.5A",,Power Distro switch,FDG6342L,Fairchild,SOT-363,Digikey,http://www.digikey.com/product-detail/en/FDG6342L/FDG6342LTR-ND/1739683,FDG6342LTR-ND,,U602,0.14578,0.14578,0.18000,0.18000,0.10000,0.1,,
Power,1,"2.4 V ~ 5.5 V, 2A",,Power Distro switch,AAT4610BIGV-1-T1,Skyworks Solutions,SOT-753,Digikey,http://www.digikey.com/product-detail/en/AAT4610BIGV-1-T1/863-1485-2-ND/3868862,863-1485-2-ND,,U603,0.15950,0.15950,0.14080,0.14080,0.13750,0.1375,,
Power,1,"1.2 V ~ 8 V, 3A",,Power Distro switch,TPS27081A,TI,TSOT-23-6,Digikey,http://www.digikey.com/product-detail/en/TPS27081ADDCR/296-34970-2-ND/3671584,296-34970-2-ND,,U604,0.15750,0.15750,0.13050,0.13050,0.17000,0.17,,
Power,1,2.7-5.5V,,Buck regulator,FAN5353MPX,Fairchild,12-WFDFN,Digikey,http://www.digikey.com/product-detail/en/FAN5353MPX/FAN5353MPXFSCT-ND/3478309,FAN5353MPXFSCT-ND,https://www.fairchildsemi.com/datasheets/FA/FAN5353.pdf,U605,0.68200,0.68200,0.57200,0.57200,0.56200,0.562,,
Coprocessor,1,"32KB Flash, 4KB SRAM",,Cortex M0 MCU,ATSAMD21G15A-MU,Atmel,48-VFQFN,Digikey,http://www.digikey.com/product-detail/en/ATSAMD21G15A-MU/ATSAMD21G15A-MU-ND/4935889?WT.z_cid=ref_octopart_dkc_buynow&site=us,ATSAMD21G15A-MU-ND,http://www.atmel.com/images/atmel-42181-sam-d21_datasheet.pdf,U701,1.27000,1.27000,1.27000,1.27000,1.27000,1.27,,
Power,2,1.5A,,USB power switch,AP2192ASG-13,Diodes Incorporated,8-SOIC,Digikey,http://www.digikey.com/product-detail/en/AP2192ASG-13/AP2192ASG-13DICT-ND/2347691,AP2192ASG-13DICT-ND,http://www.diodes.com/datasheets/AP2182A_92A.pdf,"U801, U803",0.40095,0.80190,0.16500,0.33000,0.31590,0.6318,http://item.taobao.com/item.htm?spm=a230r.1.14.5.uubJt1&id=43338772344&ns=1,AIC1528-0PSTR
